tickIdx,liquidityNet,cumulative_liquidity,timestamp,current_tick,pool_id
-887220,450633368985561.0,450633368985561.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
-887160,0.0,450633368985561.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
-92100,456406095307.0,451089775080868.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
0,10943161472679.0,462032936553547.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
92040,1620915153.0,462034557468700.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
92100,3355682144151.0,465390239612851.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
114060,0.0,465390239612851.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
115860,556573869747.0,465946813482598.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
130260,17251205334.0,465964064687932.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
139200,-556573869747.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
145080,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
145140,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
151800,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
152640,40166358066529.0,505573848884714.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
152880,-40166358066529.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
153360,155684471699734.0,621091962517919.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
153420,-155684471699734.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
153780,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
154020,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
154260,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
159000,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
161160,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
161220,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
168600,0.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
176220,358354299830.0,465765845118015.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
180900,0.0,465765845118015.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
183180,-358354299830.0,465407490818185.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
184200,20645495131032.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
191160,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
192900,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
195180,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
195300,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
195660,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
196080,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
196800,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
197220,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
197640,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
197820,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
198900,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
199020,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
199260,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
199860,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
200280,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
200340,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
200700,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
201300,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
202140,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
203040,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
203280,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
203700,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
203820,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
204000,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
204780,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
205260,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
206580,54402074932.0,486107388024149.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
206640,-54402074932.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
207240,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
207720,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
209160,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
210600,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
211080,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
211320,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
211980,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
214200,0.0,486052985949217.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
214920,31454785349939.0,517507771299156.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
216420,3151604679224.0,520659375978380.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
217260,0.0,520659375978380.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
217740,-31454785349939.0,489204590628441.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
221040,0.0,489204590628441.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
221100,0.0,489204590628441.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
223320,340095002.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
223680,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
225180,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
225540,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
225780,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
226200,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
226680,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
227640,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
228540,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
229260,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
230100,0.0,489204930723443.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
230160,1670921212240.0,490875851935683.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
230220,0.0,490875851935683.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
230280,3133366157796.0,494009218093479.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
230340,0.0,494009218093479.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
230400,0.0,494009218093479.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
230580,0.0,494009218093479.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231060,0.0,494009218093479.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231180,10325006026.0,494019543099505.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231240,9636087679.0,494029179187184.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231300,4067292562252.0,498096471749436.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231360,10098305733.0,498106570055169.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231420,105440390087.0,498212010445256.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231480,389377464792.0,498601387910048.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231540,62725860270.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231660,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231780,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231900,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
231960,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
232080,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
232320,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
232380,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
232440,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
232500,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
232560,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
232920,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
232980,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
233040,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
233100,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
233160,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
233220,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
233280,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
233340,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
233400,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
233640,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
233820,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
234000,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
234060,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
234120,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
234240,0.0,498664113770318.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
234300,-379213263309.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
234660,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
235080,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
235380,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
235440,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
235620,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
235680,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
235740,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
235980,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
236460,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
236820,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
237120,0.0,498284900507009.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
237180,469677301440.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
237300,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
237420,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
237600,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
237720,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
237840,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
238560,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
238740,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
239220,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
239340,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
239400,0.0,498754577808449.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
239460,8584538262056.0,507339116070505.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
239580,0.0,507339116070505.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
239700,0.0,507339116070505.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
239760,12015931831256.0,519355047901761.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
239880,0.0,519355047901761.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
240300,0.0,519355047901761.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
240360,0.0,519355047901761.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
240420,5857611184796.0,525212659086557.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
240720,0.0,525212659086557.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
240780,7818819408261.0,533031478494818.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
240960,0.0,533031478494818.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
241080,0.0,533031478494818.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
241140,0.0,533031478494818.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
241260,1856215464927.0,534887693959745.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
241380,7814421206784.0,542702115166529.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
241500,0.0,542702115166529.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
241620,0.0,542702115166529.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
241680,0.0,542702115166529.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
241860,0.0,542702115166529.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
241920,0.0,542702115166529.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242040,0.0,542702115166529.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242220,0.0,542702115166529.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242280,0.0,542702115166529.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242340,3373862096954.0,546075977263483.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242580,0.0,546075977263483.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242700,0.0,546075977263483.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242760,0.0,546075977263483.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242820,0.0,546075977263483.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242880,0.0,546075977263483.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
242940,0.0,546075977263483.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
243000,0.0,546075977263483.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
243300,0.0,546075977263483.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
243360,5369432313569.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
243480,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
243660,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
243720,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
243840,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
243900,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
243960,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
244020,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
244140,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
244320,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
244380,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
244560,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
244740,0.0,551445409577052.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
244860,893004067318.0,552338413644370.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
244920,0.0,552338413644370.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
244980,0.0,552338413644370.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
245040,0.0,552338413644370.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
245100,0.0,552338413644370.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
245280,0.0,552338413644370.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
245340,0.0,552338413644370.0,1733511601,262425,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed
